a52dec 0.8.0-2
gssdp 1.6.3-2
gst-plugins-bad-libs 1.24.12-1
gst-plugins-base-libs 1.24.12-1
gstreamer 1.24.12-1
gtest 1.15.2-1
gtk-update-icon-cache 1:4.16.12-1
gtk2 2.24.33-5
gtk3 1:3.24.48-1
gtk4 1:4.16.12-1
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gts 0.7.6.121130-3
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gzip 1.13-4
harfbuzz 10.2.0-1
harfbuzz-icu 10.2.0-1
haskell-aeson 2.1.2.1-63
haskell-aeson-pretty 0.8.10-23
haskell-ansi-terminal 0.11.5-16
haskell-ansi-terminal-types 0.11.5-17
haskell-ansi-wl-pprint 0.6.9-436
haskell-appar 0.1.8-14
haskell-asn1-encoding 0.9.6-239
haskell-asn1-parse 0.9.5-239
haskell-asn1-types 0.3.4-218
haskell-assoc 1.0.2-296
haskell-async 2.2.5-53
haskell-attoparsec 0.14.4-83
haskell-attoparsec-aeson 2.1.0.0-47
haskell-attoparsec-iso8601 1.1.0.0-59
haskell-auto-update 0.1.6-348
haskell-base-compat 0.12.2-2
haskell-base-compat-batteries 0.12.2-100
haskell-base-orphans 0.8.8.2-31
haskell-base-unicode-symbols 0.2.4.2-14
haskell-base16-bytestring 1.0.2.0-89
haskell-base64-bytestring 1.2.1.0-113
haskell-basement 0.0.16-2
haskell-bifunctors 5.6-107
haskell-bitvec 1.1.3.0-110
haskell-blaze-builder 0.4.2.3-2
haskell-blaze-html 0.9.2.0-9
haskell-blaze-markup 0.8.3.0-19
haskell-boring 0.2.1-4
haskell-bsb-http-chunked 0.0.0.4-392
haskell-byteorder 1.0.4-25
haskell-call-stack 0.4.0-203
haskell-case-insensitive 1.2.1.0-212
haskell-cassava 0.5.3.2-7
haskell-cereal 0.5.8.3-2
haskell-citeproc 0.8.1-130
haskell-cmdargs 0.10.22-2
haskell-colour 2.3.6-228
haskell-commonmark 0.2.5.1-5
haskell-commonmark-extensions 0.2.5.2-12
haskell-commonmark-pandoc 0.2.2.1-4
haskell-comonad 5.0.8-291
haskell-conduit 1.3.6-14
haskell-conduit-extra 1.3.6-155
haskell-constraints 0.13.4-59
haskell-contravariant 1.5.5-4
haskell-cookie 0.4.6-2
haskell-crypton 0.34-20
haskell-crypton-connection 0.3.2-18
haskell-crypton-x509 1.7.6-37
haskell-crypton-x509-store 1.6.9-37
haskell-crypton-x509-system 1.6.7-37
haskell-crypton-x509-validation 1.6.12-37
haskell-data-array-byte 0.1.0.1-72
haskell-data-default 0.7.1.1-318
haskell-data-default-class 0.1.2.0-25
haskell-data-default-instances-containers 0.1.0.2-1
haskell-data-default-instances-dlist 0.0.1.2-2
haskell-data-default-instances-old-locale 0.0.1-37
haskell-data-fix 0.3.2-111
haskell-dec 0.0.5-6
haskell-digest 0.0.1.7-2
haskell-distributive 0.6.2.1-218
haskell-djot 0.1.1.3-7
haskell-dlist 1.0-253
haskell-doclayout 0.4.0.1-39
haskell-doctemplates 0.11-88
haskell-easy-file 0.2.5-30
haskell-emojis 0.1.4-5
haskell-erf 2.0.0.0-25
haskell-fast-logger 3.1.2-93
haskell-file-embed 0.0.15.0-2
haskell-foldable1-classes-compat 0.1-107
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glob 0.10.2-99
haskell-gridtables 0.1.0.0-58
haskell-haddock-library 1.11.0-38
haskell-hashable 1.4.4.0-29
haskell-hourglass 0.2.12-255
haskell-hslua 2.3.0-69
haskell-hslua-aeson 2.3.0.1-51
haskell-hslua-classes 2.3.0-69
haskell-hslua-core 2.3.1-61
haskell-hslua-list 1.1.1-76
haskell-hslua-marshalling 2.3.1-21
haskell-hslua-module-doclayout 1.1.0-79
haskell-hslua-module-path 1.1.0-72
haskell-hslua-module-system 1.1.0.1-43
haskell-hslua-module-text 1.1.0.1-44
haskell-hslua-module-version 1.1.1-11
haskell-hslua-module-zip 1.1.1-38
haskell-hslua-objectorientation 2.3.0-65
haskell-hslua-packaging 2.3.1-30
haskell-hslua-repl 0.1.2-27
haskell-hslua-typing 0.1.1-23
haskell-http-api-data 0.5.1-69
haskell-http-client 0.7.17-11
haskell-http-client-tls 0.3.6.3-78
haskell-http-date 0.0.11-145
haskell-http-media 0.8.1.1-23
haskell-http-types 0.12.4-21
haskell-http2 4.1.0-40
haskell-hunit 1.6.2.0-245
haskell-indexed-traversable 0.1.4-20
haskell-indexed-traversable-instances 0.1.2-10
haskell-integer-logarithms 1.0.3.1-7
haskell-iproute 1.7.14-5
haskell-ipynb 0.2-155
haskell-isocline 1.0.9-2
haskell-jira-wiki-markup 1.5.1-31
haskell-juicypixels 3.3.8-40
haskell-lexer 1.1.1-2
haskell-libyaml 0.1.4-27
haskell-lpeg 1.0.4-36
haskell-lua 2.3.3-8
haskell-memory 0.18.0-17
haskell-mime-types 0.1.2.0-2
haskell-mmorph 1.2.0-6
haskell-monad-control 1.0.3.1-111
haskell-mono-traversable 1.0.21.0-2
haskell-network 3.1.4.0-29
haskell-network-byte-order 0.1.7-2
haskell-network-uri 2.6.4.2-40
haskell-old-locale 1.0.0.7-31
haskell-old-time 1.1.0.4-3
haskell-onetuple 0.4.1.1-13
haskell-only 0.1-23
haskell-optparse-applicative 0.17.1.0-47
haskell-ordered-containers 0.2.4-9
haskell-os-string 2.0.6-17
haskell-pandoc 3.1.12.1-2
haskell-pandoc-lua-engine 0.2.1.2-80
haskell-pandoc-lua-marshal 0.2.7-10
haskell-pandoc-server 0.1.0.5-98
haskell-pandoc-types 1.23.1-37
haskell-pem 0.2.4-295
haskell-pretty-show 1.10-16
haskell-prettyprinter 1.7.1-180
haskell-primitive 0.7.4.0-129
haskell-psqueues 0.2.8.0-19
haskell-quickcheck 2.14.3-90
haskell-random 1.2.1.2-34
haskell-recv 0.1.0-39
haskell-regex-base 0.94.0.2-3
haskell-regex-tdfa 1.3.2.2-54
haskell-resourcet 1.2.6-60
haskell-safe 0.3.21-14
haskell-safe-exceptions 0.1.7.4-30
haskell-scientific 0.3.7.0-122
haskell-semialign 1.2.0.1-176
haskell-semigroupoids 5.3.7-157
haskell-servant 0.20.2-11
haskell-servant-server 0.20.2-18
haskell-sha 1.6.4.4-20
haskell-simple-sendfile 0.2.32-57
haskell-singleton-bool 0.1.7-4
haskell-skylighting 0.14.1.1-15
haskell-skylighting-core 0.14.1.1-13
haskell-skylighting-format-ansi 0.1-147
haskell-skylighting-format-blaze-html 0.1.1.3-1
haskell-skylighting-format-context 0.1.0.2-111
haskell-skylighting-format-latex 0.1-146
haskell-socks 0.6.1-246
haskell-some 1.0.5-2
haskell-sop-core 0.5.0.2-2
haskell-split 0.2.5-15
haskell-splitmix 0.1.0.5-41
haskell-statevar 1.2.2-3
haskell-streaming-commons 0.2.2.6-35
haskell-strict 0.4.0.1-270
haskell-syb 0.7.2.4-23
haskell-tagged 0.8.9-1
haskell-tagsoup 0.14.8-235
haskell-temporary 1.3-615
haskell-texmath 0.12.8.7-4
haskell-text-conversions 0.3.1.1-72
haskell-text-icu 0.8.0.5-11
haskell-text-short 0.1.6-8
haskell-th-abstraction 0.4.5.0-2
haskell-th-compat 0.1.5-11
haskell-th-lift 0.8.4-2
haskell-th-lift-instances 0.1.20-56
haskell-these 1.1.1.1-297
haskell-time-compat 1.9.6.1-106
haskell-time-manager 0.0.1-44
haskell-tls 1.8.0-39
haskell-toml-parser 1.3.1.3-33
haskell-transformers-base 0.4.6-111
haskell-transformers-compat 0.7.2-2
haskell-type-equality 1.0.1-1
haskell-typed-process 0.2.11.1-24
haskell-typst 0.5.0.1-11
haskell-typst-symbols 0.1.5-1
haskell-unicode-collation 0.1.3.6-21
haskell-unicode-data 0.4.0.1-42
haskell-unicode-transforms 0.4.0.1-83
haskell-uniplate 1.6.13-233
haskell-unix-compat 0.7.2-11
haskell-unix-time 0.4.14-8
haskell-unliftio 0.2.25.0-19
haskell-unliftio-core 0.2.1.0-2
haskell-unordered-containers 0.2.20-28
haskell-utf8-string 1.0.2-159
haskell-uuid-types 1.0.5.1-25
haskell-vault 0.3.1.5-195
haskell-vector 0.13.1.0-55
haskell-vector-algorithms 0.9.0.3-5
haskell-vector-stream 0.1.0.1-2
haskell-wai 3.2.4-34
haskell-wai-app-static 3.1.9-48
haskell-wai-cors 0.2.7-370
haskell-wai-extra 3.1.15-41
haskell-wai-logger 2.5.0-10
haskell-warp 3.3.30-86
haskell-witherable 0.4.2-117
haskell-word8 0.1.3-23
haskell-xml 1.3.14-31
haskell-xml-conduit 1.9.1.4-7
haskell-xml-types 0.3.8-9
haskell-yaml 0.11.11.2-71
haskell-zip-archive 0.4.3.2-11
haskell-zlib 0.6.3.0-69
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hslua-cli 1.4.1-65
htop 3.3.0-3
hugo 0.143.1-1
hunspell 1.7.2-2
hwdata 0.392-1
hyphen 2.8.8-6
i3-git 4.23.r25.g051d3537-1
i3-swallow-git r69.6fbc046-1
i3blocks 1.5-4
i3lock 2.15-2
i3status-git 2.14.r20.gc07b9ca-1
iana-etc 20241206-1
icu 75.1-2
ijs 0.35-6
imath 3.1.12-2
imlib2 1.12.3-2
iniparser 4.2.5-1
intellij-idea-ultimate-edition 2024.3.2.2-3
iperf3 3.17.1-1
iproute2 6.13.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-2
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 23.0.2.u7-1
jdk11-openjdk 11.0.26.u4-1
jdk17-openjdk 17.0.14.u7-1
jdk21-openjdk 21.0.6.u7-1
jdk8-openjdk 8.442.u06-1
joshuto 0.9.8-1
jre8-openjdk 8.442.u06-1
jre8-openjdk-headless 8.442.u06-1
js128 128.6.0-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
karchive 6.10.0-1
kauth 6.10.0-1
kbd 2.7.1-1
kbookmarks 6.10.0-1
kcat-cli 1.7.1-3
kcmutils 6.10.0-1
kcodecs 6.10.0-1
kcolorscheme 6.10.0-1
kcompletion 6.10.0-1
kconfig 6.10.0-1
kconfigwidgets 6.10.0-1
kcoreaddons 6.10.0-1
kcrash 6.10.0-1
kdbusaddons 6.10.0-1
kdeclarative 6.10.0-1
keyutils 1.6.3-3
kglobalaccel 6.10.0-1
kguiaddons 6.10.0-1
kguiaddons5 5.116.0-1
ki18n 6.10.0-1
kiconthemes 6.10.0-1
kio 6.10.0-1
kirigami 6.10.0-1
kitemviews 6.10.0-1
kjobwidgets 6.10.0-1
kmod 33-3
knotifications 6.10.0-1
kpackage 6.10.0-1
krb5 1.21.3-1
kservice 6.10.0-1
ksvg 6.10.0-1
kwallet 6.10.0-1
kwidgetsaddons 6.10.0-1
kwindowsystem 6.10.0-1
kxmlgui 6.10.0-1
l-smash 2.14.5-4
ladspa 1.17-5
lame 3.100-5
lazygit 0.45.2-1
lcms2 2.16-1
ldb 2:4.21.3-1
less 1:668-1
leveldb 1.23-4
libaec 1.1.3-1
libaio 0.3.113-3
libappimage 1.0.4.5-7
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.7-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.1.1-2
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.2.1-3
libblockdev-crypto 3.2.1-3
libblockdev-fs 3.2.1-3
libblockdev-loop 3.2.1-3
libblockdev-mdraid 3.2.1-3
libblockdev-nvme 3.2.1-3
libblockdev-part 3.2.1-3
libblockdev-swap 3.2.1-3
libbluray 1.3.4-2
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcamera 0.3.2-2
libcamera-ipa 0.3.2-2
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.71-1
libcap-ng 0.8.5-3
libcdio 2.2.0-1
libcgif 0.4.1-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libconfig 1.7.3-3
libcups 2:2.4.11-2
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.15-3
libdeflate 1.23-1
libdispatch 5.10-1
libdovi 3.3.1-1
libdrm 2.4.124-1
libdvbpsi 1:1.3.3-3
libdvdcss 1.4.3-2
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libebml 1.4.5-1
libedit 20240808_3.1-1
libelf 0.192-3
libepoxy 1.5.10-3
libev 4.33-3
libevdev 1.13.3-1
libevent 2.1.12-4
libexif 0.6.25-1
libfdk-aac 2.0.3-1
libffado 2.4.9-2
libffi 3.4.6-1
libfontenc 1.1.8-1
libfreeaptx 0.1.1-2
libfreexl 2.0.0-2
libftdi 1.5-7
libgcrypt 1.11.0-2
libgeotiff 1.7.3-1
libgirepository 1.82.0-2
libglvnd 1.7.0-1
libgme 0.6.3-5
libgnomekbd 1:3.28.1-1
libgoom2 2k4-5
libgpg-error 1.51-1
libgtop 2.41.3-2
libgudev 238-1
libheif 1.19.5-1
libice 1.1.2-1
libidn 1.42-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libimagequant 4.3.3-1
libimobiledevice 1.3.0-15
libimobiledevice-glue 1.3.1-1
libinput 1.27.1-1
